Username,UserID,MessageID,Timestamp,Content
yasuna_miura,1151759414961913906,1231814724094525521,2024-04-22 03:51:56.235000+00:00,"**【記事シェア】
**テックキャンプの卒業生さんが書いたアウトプットに関する記事が良かったのでシェアさせていただきます！
`アウトプットの質を高めたい、アウトプットで使えるツールについて知りたい方`は必見です✨ 
https://qiita.com/tsutsumin_pro/items/5fe8e32c96fbbda8b8df"
m09335,1224311807674679296,1231708870200655933,2024-04-21 20:51:18.700000+00:00,"◆2024年4月22日のダイアリー（本日の学びを振り返ってみた）
【1】学習内容（コース名「自己理解・キャリアコース」／）
・教材： 自己理解・キャリア「第６週転職先をイメージする」
・やったこと：気になる会社の企業理念を調べてみた
【2】本日の学習時間 
・50分くらい
【3】本日の学習を通したポジティブな気づき 
・企業理念を初めて意識した
・自分軸が大事
【4】難しかったこと・悩んだこと 
・見極めることは難しい
・穿った見方をしてしまう
【5】その他、考えたこと（任意） 
・気になる業界（半導体とか）調べたらあそこはヤバイみたいな話が出てきてビビる
・経営理念は参考程度に
・自分の直感を信じる
・意外とバカにならない
・経験上直感を無視すると痛い目にあう"
sai017347,1224319534358466582,1231649080367911044,2024-04-21 16:53:43.693000+00:00,"【1】学習内容（コース名「レッスン名」／やったこと）
・教材：Webアプリ制作「Ruby基礎文法」
【2】本日の学習時間 
・6時間くらい
【3】本日の学習を通したポジティブな気づき 
・変数の変更や追加など
・変数は０、１、２と数える（海外のフロアと一緒）
・変数の追加　　変数 << ""〇〇""
・変数の変更　　変数[変えたい変数の番号] = ""００""
・変数の数を数える　　変数.length

【4】難しかったこと・悩んだこと 
・Rubyが苦手なのか毎回理解できずにつまづきました。
【5】その他、考えたこと（任意） 
・Rubyの参考書も買って読んだ方がいいのかな"
eishi_sc0,822765266828132352,1231612796190330910,2024-04-21 14:29:32.871000+00:00,"◆本日のダイアリー（本日の学びを振り返ってみた）
【1】学習内容（コース名「レッスン名」／やったこと）
・教材
Lesson4　Python基礎文法２
～繰り返し処理をしよう～
～処理に名前をつけて使おう～
Lesson5　エクセルの自動操作を行おう
～学習の進め方を理解しよう～
～業務効率化に必要な考え方を学ぼう～
～ライブラリの基本的な使い方を理解しよう～

・やったこと：様々な概念を知ること

【2】本日の学習時間 
・400分

【3】本日の学習を通したポジティブな気づき 
・pythonでエクセルファイル新規作成できるのを目の当たりにして感動した。

【4】難しかったこと・悩んだこと 
・概念を理解することが難しい
・理解できないと手が進まない

【5】その他、考えたこと（任意） 
・難しい！理解はできていない！！アウトプットできない！！！(笑)こうなったらとにかくコードを書くということを実践してみようと思った。短いコードでもいいからとにかく書く。わからなくても書く！おやすみなさい💤"
sakai1217_96446,1224357231684747338,1231586163333267508,2024-04-21 12:43:43.103000+00:00,"◆4/21　本日のアウトプット
【1】学習内容
・教材： DXプログラミング「Lesson4 Python基礎文法2～処理に名前をつけて使おう～」
・やったこと：関数の仕組みの理解と関数の定義方法

【2】本日の学習時間 
・50分くらい

【3】本日の学習を通したポジティブな気づき等 
・グローバルスコープとローカルスコープの話（定義した変数を使える範囲）は、どのプログラミング言語でもあるものと思うが、説明がわかりやくすんなり理解できた。
・これまで学んだ内容をどんどん使うので、プログラム内に♯コメントを入れるようにした。 
・Python基礎文法2まで終了したが、基礎文法1も含めてこの内容を確実に理解できているかが重要と思うので、次のレッスン以降で躓いたら、焦らずに戻ってしっかり復習して進めたい。"
hase0808eichi,1224376823538909325,1231581384351547402,2024-04-21 12:24:43.705000+00:00,"次々学習を進めてしまうと前の内容が抜けていきますよね笑
他の方々の学習スピードに焦りを感じていましたが復習をしっかりしながら自分のペースで進める方が身になると気づきました。"
kawada77_75896,1224196306583552072,1231560882547589121,2024-04-21 11:03:15.694000+00:00,"◆本日のダイアリー（本日の学びを振り返ってみた）
【1】学習内容（コース名「レッスン名」／やったこと）
            〜HTMLの構造を学ぼう〜
             復習も含めて全部、再確認しながら学習しました。

【2】本日の学習時間 
・　150分くらい
【3】本日の学習を通したポジティブな気づき 
・４月からスタートしてVSCodeを使って学習するのは初めてで
　恐る恐るでしたが段々と慣れてきて成長を感じました。
　（ほんの少しですが。。😇 ）
・
【4】難しかったこと・悩んだこと 
・新しいHTMLの要素の言葉も増え、一度読んだだけでは頭の中が受け入れてくれず
　前の要素の言葉とごちゃ混ぜになってしまい、切り離して覚えるのに苦労します。
・
【5】その他、考えたこと（任意） 
・コードを自分で考えて記述するのまでにはまだまだほど遠く、
　まずは意味をしっかりと理解しないとできないタイプなので復習にはほんとに
　時間がかかってしまうしどこに力を入れて学習すればいいのはわからないので、
　息詰まったら先に進めて後から戻って再度学習する事にしました。


[21:16]"
endo_27711,1155490242430783488,1231522392824872991,2024-04-21 08:30:19.029000+00:00,"Web制作の学習を終わりました。
楽しみにしていたJavaScriptの学習も楽しかったです。
次はDXプログラミングを学習していきます。"
kw0718,1224334218767896616,1231515536408445050,2024-04-21 08:03:04.332000+00:00,【４】考察　カリキュラムのコードをそのまま使い、少し応用的な内容を入れてみた。現業が忙しく学習時間が連休まであまりとれないため、比較的簡単に取り組めるところから始めている。当面は週末のみで取り組める内容を進めて、連休中にまとまった内容のLessonに取り組む予定。
kw0718,1224334218767896616,1231514764224757770,2024-04-21 08:00:00.229000+00:00,【３】学んだこと　マイドライブから直接GASのテキストエディタを起動して、カレンダーに予定を記述するプログラムを実行する
kw0718,1224334218767896616,1231514445813907477,2024-04-21 07:58:44.314000+00:00,【２】学習時間　14:30－17:00
kw0718,1224334218767896616,1231514335176822794,2024-04-21 07:58:17.936000+00:00,【１】学習内容　Lesson7　GASの基礎　追加の活用方法を知ろう
kamadarina,1224304156768997479,1231513231206649896,2024-04-21 07:53:54.729000+00:00,"◆本日のダイアリー（本日の学びを振り返ってみた）
【1】学習内容（コース名「レッスン名」／やったこと）
・教材： webアプリ制作１「PCの環境構築〜【Windows】アプリケーション開発のための環境を整えよう」
・やったこと：WSLの有効化から、MySQLの設定まで
【2】本日の学習時間 
・３時間くらい（メンターさんへの質問時間含む）
【3】本日の学習を通したポジティブな気づき 
・メンターさんのサポートがありがたい。
【4】難しかったこと・悩んだこと 
・windows+xがwindowsマークのキーを押すことだと気づくのに時間がかかった。
・ターミナルからツールを導入するための環境整備
【5】その他、考えたこと（任意）"
ryosukearai,1192326223909621760,1231451911543197807,2024-04-21 03:50:14.982000+00:00,"【1】学習内容（テックスタディ／JavaScript）
・教材：JavaScript
【2】サマライズテーマ 
 ・ HMTL要素の取得
【3】オリジナル解説文
・document.getElementById(""lists"")
Idは1つしかない為、Elementと記述
・document.getElementsByClassName(""pull-down-list"")
Classは複数存在する為、Elementsと記述
・document.querySelectorAll(""h1"")
HTMLCollection(Element)とNodeList(query)の違いはReturn値であり、それぞれ使用できるメッソドが異なってくる。
・イベント発火
マウスオーバーでpullDownButtonが発火
pullDownButton.addEventListener(""mouseover"", function(){})
マウスアウトはmouseoutと記述
クリックはclickと記述
・インラインスタイル
HTML要素の開始タグの中に直接cssコードを記述するプロパティの指定方法
pullDownButton.setAttribute(""style"", ""background-color: #FFBEDA;) 
pullDownBotton.removeAttribute(""style"", ""background-color: #FFBEDA;) 
マウスオーバーで色が変わり、マウスアウトで色が元に戻る
・thisで発火イベント元となった要素を取得
this.setAttribute(""style"", ""background-color: #FFBEDA;) 
pullDownButtonイベントをthisへ置き換えて見やすいコードにする
・innerHTML
要素を取得、書き換えできる
value=list.innerHTML (valueにlistを代入)
currentList.innerHTML=value (currentListに代入したlistを代入)

【4】言語化してみての気づき（任意）
・ページ遷移なしでウェブページに動きをつけるためにJavaScriptがあり、HTMLもCSS要素も操作できる。"
smallboss045,654363581143449621,1231447695458308137,2024-04-21 03:33:29.789000+00:00,"HTMLとCSS
〜ヒントだけでWebページを実装しよう〜
解答見ずにどれだけできるか挑戦中。
今日は2-3. 右端の要素に子要素を横並びで配置しよう～～
まで行けた。解答と多少ちがったが、画面は一緒なので良しｗ
ここの問題を最後まで見ないでできるまで繰り返す予定。"
kishitake3213,943352763797082223,1231395269460099113,2024-04-21 00:05:10.457000+00:00,"【1】学習内容（コース名「レッスン名」／やったこと）
・教材：Web制作「レスポンシブなWebサイト制作」
・やったこと：課題までの復習
【2】サマライズテーマ 
 ・PCデザインとの関連性
【3】オリジナル解説文
 ・CSSは記載順に実行されるため、メディアクエリは元デザインの後に記述する
 ・元デザインへのCSSを打ち消すことや利用して記述することが必要
　 （例）PC用：横並び＝Flexboxの設定済
　　　　モバイル用：縦並び＝Flexbox設定を把握したうえで、flex-directionの設定する
【4】言語化してみての気づき（任意）
 ・レスポンシブ対応には、元のCSSがいかに整理されているかが重要だと感じた。同一構成箇所をまとめず個別に記述していたり、一般手法（≒エンジニアの慣習）と逸脱した記述をしているとレスポンシブ対応に手間がかかると思われる。"
m09335,1224311807674679296,1231364709970870302,2024-04-20 22:03:44.507000+00:00,"◆2024年4月21日のダイアリー（本日の学びを振り返ってみた）
【1】学習内容（コース名「自己理解・キャリアコース」／）
・教材： 自己理解・キャリア「第5週：選考に備える　第６週転職先をイメージする」
・やったこと：転職マインドを学ぶ・転職アプリに登録
【2】本日の学習時間 
・50分くらい
【3】本日の学習を通したポジティブな気づき 
・転職がうまくいかない人の条件にすべて当てはまっていることが分かった
・担当コーチの存在を知り気が楽になる
・行動しよう
【4】難しかったこと・悩んだこと 
・なんでも行き当たりばったりはダメ
・wantedlyを登録しようとしたら生年月日がカレンダー入力で
　延々４０年ばかりさかのぼらないといけない。しかも２０～３０代向けアプリだった。
　そういうことか
【5】その他、考えたこと（任意） 
・Wantedly生年月日入力で軽く挫折したのでWarisに登録した
・自分が主流ではないことに気づく
・だからこそ分かることがある
・来年の４月に転職したい
・秋ころから本格的に動かないといけない"
kawayu0708,1224218328382443712,1231364528818618451,2024-04-20 22:03:01.317000+00:00,おんなじとこ、再確認してました笑
kawayu0708,1224218328382443712,1231364124366340186,2024-04-20 22:01:24.888000+00:00,"私もlink、忘れてました笑
一緒の境遇の方がいて、勝手に親近感が湧いています笑"
